
0it [00:00, ?it/s]
1it [02:29, 149.38s/it]
147it [02:29,  1.40it/s]
293it [02:29,  3.39it/s]
435it [02:29,  6.14it/s]
576it [02:29, 10.03it/s]
723it [02:29, 15.78it/s]
864it [02:30, 23.57it/s]
1002it [02:30, 34.29it/s]
1146it [02:30, 50.01it/s]
1283it [02:30, 70.47it/s]
1411it [02:30, 96.92it/s]
1539it [02:30, 131.75it/s]
1668it [02:30, 179.43it/s]
1791it [02:30, 235.09it/s]
1934it [02:30, 321.87it/s]
2058it [02:31, 402.61it/s]
2204it [02:31, 526.32it/s]
2332it [02:31, 619.78it/s]
2481it [02:31, 764.48it/s]
2611it [02:31, 836.27it/s]
2751it [02:31, 899.66it/s]
2899it [02:31, 1026.28it/s]
3027it [02:31, 950.10it/s] 
3176it [02:31, 1073.03it/s]
3300it [02:32, 1054.31it/s]
3448it [02:32, 1159.78it/s]
3575it [02:32, 1103.45it/s]
3724it [02:32, 1201.97it/s]
3851it [02:32, 1121.44it/s]
4000it [02:32, 1217.02it/s]
4001it [02:32, 26.21it/s]  
