
0it [00:00, ?it/s]
1it [03:13, 193.01s/it]
116it [03:13,  1.17s/it]
231it [03:13,  2.07it/s]
346it [03:13,  3.80it/s]
459it [03:13,  6.21it/s]
571it [03:13,  9.61it/s]
686it [03:13, 14.57it/s]
797it [03:13, 21.32it/s]
912it [03:13, 31.17it/s]
1022it [03:13, 44.27it/s]
1137it [03:14, 63.35it/s]
1251it [03:14, 88.91it/s]
1372it [03:14, 126.03it/s]
1488it [03:14, 172.73it/s]
1600it [03:14, 227.16it/s]
1714it [03:14, 299.00it/s]
1823it [03:14, 370.59it/s]
1937it [03:14, 465.71it/s]
2043it [03:14, 535.65it/s]
2158it [03:15, 640.72it/s]
2263it [03:15, 675.86it/s]
2378it [03:15, 774.03it/s]
2494it [03:15, 862.23it/s]
2601it [03:15, 846.09it/s]
2715it [03:15, 918.25it/s]
2819it [03:15, 867.99it/s]
2934it [03:15, 938.55it/s]
3035it [03:15, 874.79it/s]
3149it [03:16, 942.56it/s]
3251it [03:16, 870.02it/s]
3366it [03:16, 941.94it/s]
3481it [03:16, 996.25it/s]
3585it [03:16, 573.84it/s]
3700it [03:16, 679.56it/s]
3791it [03:17, 670.64it/s]
3905it [03:17, 771.05it/s]
4001it [03:17, 730.40it/s]
4001it [03:17, 20.28it/s] 
