
0it [00:00, ?it/s]
1it [03:02, 182.23s/it]
136it [03:02,  1.06it/s]
271it [03:02,  2.57it/s]
402it [03:02,  4.65it/s]
532it [03:02,  7.60it/s]
659it [03:02, 11.68it/s]
783it [03:02, 17.32it/s]
916it [03:02, 25.89it/s]
1042it [03:03, 37.26it/s]
1177it [03:03, 54.34it/s]
1304it [03:03, 76.38it/s]
1441it [03:03, 109.19it/s]
1569it [03:03, 149.29it/s]
1701it [03:03, 204.63it/s]
1826it [03:03, 266.48it/s]
1960it [03:03, 354.18it/s]
2083it [03:03, 436.95it/s]
2221it [03:04, 557.11it/s]
2344it [03:04, 640.31it/s]
2482it [03:04, 770.07it/s]
2605it [03:04, 823.44it/s]
2742it [03:04, 940.48it/s]
2865it [03:04, 941.91it/s]
2995it [03:04, 1027.16it/s]
3114it [03:04, 1008.59it/s]
3251it [03:04, 993.29it/s] 
3392it [03:05, 1095.09it/s]
3510it [03:05, 1030.18it/s]
3648it [03:05, 1118.06it/s]
3766it [03:05, 1042.95it/s]
3899it [03:05, 1116.86it/s]
4001it [03:05, 21.55it/s]  
