
0it [00:00, ?it/s]
1it [03:03, 183.69s/it]
139it [03:03,  1.08it/s]
277it [03:03,  2.61it/s]
410it [03:03,  4.71it/s]
542it [03:04,  7.67it/s]
680it [03:04, 12.07it/s]
813it [03:04, 18.08it/s]
952it [03:04, 26.96it/s]
1084it [03:04, 38.77it/s]
1216it [03:04, 55.31it/s]
1345it [03:04, 77.45it/s]
1489it [03:04, 111.70it/s]
1619it [03:04, 152.02it/s]
1751it [03:05, 205.09it/s]
1892it [03:05, 280.12it/s]
2019it [03:05, 354.14it/s]
2162it [03:05, 464.66it/s]
2289it [03:05, 549.20it/s]
2431it [03:05, 680.08it/s]
2557it [03:05, 746.52it/s]
2682it [03:05, 844.10it/s]
2802it [03:05, 868.02it/s]
2948it [03:06, 1000.65it/s]
3070it [03:06, 979.99it/s] 
3214it [03:06, 1091.74it/s]
3337it [03:06, 1035.43it/s]
3482it [03:06, 1139.76it/s]
3605it [03:06, 1074.69it/s]
3751it [03:06, 1039.54it/s]
3896it [03:06, 1140.14it/s]
4001it [03:07, 21.39it/s]  
