
0it [00:00, ?it/s]
1it [03:11, 191.42s/it]
117it [03:11,  1.15s/it]
233it [03:11,  2.10it/s]
349it [03:11,  3.86it/s]
462it [03:11,  6.30it/s]
574it [03:11,  9.73it/s]
690it [03:12, 14.77it/s]
801it [03:12, 21.56it/s]
917it [03:12, 31.58it/s]
1028it [03:12, 44.90it/s]
1142it [03:12, 63.96it/s]
1251it [03:12, 88.51it/s]
1367it [03:12, 124.23it/s]
1483it [03:12, 171.31it/s]
1593it [03:12, 225.24it/s]
1707it [03:12, 297.74it/s]
1815it [03:13, 369.62it/s]
1930it [03:13, 466.39it/s]
2036it [03:13, 536.94it/s]
2152it [03:13, 644.04it/s]
2257it [03:13, 687.70it/s]
2372it [03:13, 784.20it/s]
2488it [03:13, 869.94it/s]
2595it [03:13, 852.81it/s]
2710it [03:14, 925.41it/s]
2814it [03:14, 886.75it/s]
2935it [03:14, 967.96it/s]
3039it [03:14, 905.71it/s]
3154it [03:14, 968.49it/s]
3256it [03:14, 890.32it/s]
3372it [03:14, 959.48it/s]
3487it [03:14, 1010.24it/s]
3592it [03:14, 904.28it/s] 
3708it [03:15, 969.77it/s]
3809it [03:15, 866.90it/s]
3923it [03:15, 936.07it/s]
4001it [03:15, 20.47it/s] 
