
0it [00:00, ?it/s]
1it [03:13, 193.72s/it]
114it [03:13,  1.19s/it]
229it [03:13,  2.05it/s]
343it [03:14,  3.75it/s]
454it [03:14,  6.12it/s]
565it [03:14,  9.48it/s]
681it [03:14, 14.46it/s]
792it [03:14, 21.18it/s]
906it [03:14, 30.91it/s]
1015it [03:14, 43.84it/s]
1127it [03:14, 62.35it/s]
1241it [03:14, 88.19it/s]
1350it [03:14, 120.70it/s]
1464it [03:15, 166.48it/s]
1571it [03:15, 218.35it/s]
1683it [03:15, 288.95it/s]
1788it [03:15, 357.96it/s]
1901it [03:15, 452.86it/s]
2005it [03:15, 520.95it/s]
2118it [03:15, 624.55it/s]
2231it [03:15, 723.60it/s]
2337it [03:15, 747.86it/s]
2451it [03:16, 835.94it/s]
2554it [03:16, 820.95it/s]
2666it [03:16, 894.10it/s]
2767it [03:16, 849.81it/s]
2881it [03:16, 923.43it/s]
2995it [03:16, 979.72it/s]
3099it [03:16, 902.27it/s]
3213it [03:16, 962.56it/s]
3314it [03:17, 876.81it/s]
3428it [03:17, 943.65it/s]
3527it [03:17, 848.88it/s]
3640it [03:17, 919.17it/s]
3751it [03:17, 838.38it/s]
3864it [03:17, 909.74it/s]
3975it [03:17, 962.00it/s]
4001it [03:17, 20.23it/s] 
