
0it [00:00, ?it/s]
1it [03:05, 185.40s/it]
136it [03:05,  1.04it/s]
271it [03:05,  2.53it/s]
404it [03:05,  4.61it/s]
535it [03:05,  7.52it/s]
667it [03:05, 11.69it/s]
793it [03:06, 17.33it/s]
935it [03:06, 26.33it/s]
1065it [03:06, 37.86it/s]
1202it [03:06, 54.90it/s]
1331it [03:06, 76.80it/s]
1477it [03:06, 111.27it/s]
1607it [03:06, 151.57it/s]
1751it [03:06, 209.49it/s]
1896it [03:06, 286.14it/s]
2026it [03:07, 362.16it/s]
2170it [03:07, 472.33it/s]
2300it [03:07, 556.73it/s]
2424it [03:07, 658.22it/s]
2546it [03:07, 731.35it/s]
2691it [03:07, 871.26it/s]
2816it [03:07, 915.80it/s]
2969it [03:07, 1056.64it/s]
3098it [03:07, 1059.22it/s]
3251it [03:08, 1074.16it/s]
3408it [03:08, 1195.26it/s]
3538it [03:08, 1135.96it/s]
3689it [03:08, 1231.56it/s]
3820it [03:08, 1136.92it/s]
3969it [03:08, 1225.97it/s]
4001it [03:08, 21.20it/s]  
