
0it [00:00, ?it/s]
1it [02:31, 151.75s/it]
146it [02:31,  1.37it/s]
290it [02:31,  3.30it/s]
432it [02:32,  6.01it/s]
573it [02:32,  9.84it/s]
721it [02:32, 15.54it/s]
864it [02:32, 23.32it/s]
1003it [02:32, 33.96it/s]
1150it [02:32, 49.79it/s]
1289it [02:32, 70.41it/s]
1439it [02:32, 101.31it/s]
1578it [02:32, 139.09it/s]
1726it [02:33, 193.77it/s]
1863it [02:33, 255.09it/s]
1992it [02:33, 328.27it/s]
2119it [02:33, 404.76it/s]
2237it [02:33, 489.44it/s]
2353it [02:33, 549.65it/s]
2465it [02:33, 639.83it/s]
2573it [02:33, 691.56it/s]
2726it [02:33, 860.58it/s]
2843it [02:34, 910.00it/s]
2993it [02:34, 1050.00it/s]
3118it [02:34, 1057.38it/s]
3251it [02:34, 1052.96it/s]
3398it [02:34, 1159.28it/s]
3523it [02:34, 1084.13it/s]
3653it [02:34, 1138.42it/s]
3773it [02:34, 1043.48it/s]
3912it [02:34, 1131.82it/s]
4001it [02:35, 25.80it/s]  
