
0it [00:00, ?it/s]
1it [02:26, 146.78s/it]
138it [02:26,  1.34it/s]
275it [02:26,  3.24it/s]
409it [02:27,  5.88it/s]
541it [02:27,  9.58it/s]
672it [02:27, 14.79it/s]
801it [02:27, 22.04it/s]
943it [02:27, 33.31it/s]
1075it [02:27, 47.91it/s]
1215it [02:27, 69.53it/s]
1347it [02:27, 97.19it/s]
1489it [02:27, 137.95it/s]
1621it [02:28, 186.60it/s]
1751it [02:28, 247.33it/s]
1893it [02:28, 334.02it/s]
2021it [02:28, 417.47it/s]
2171it [02:28, 545.68it/s]
2302it [02:28, 632.58it/s]
2434it [02:28, 746.61it/s]
2560it [02:28, 798.06it/s]
2692it [02:28, 904.82it/s]
2814it [02:29, 906.85it/s]
2945it [02:29, 999.52it/s]
3063it [02:29, 973.05it/s]
3205it [02:29, 1082.38it/s]
3325it [02:29, 1055.15it/s]
3474it [02:29, 1168.03it/s]
3598it [02:29, 1107.30it/s]
3749it [02:29, 1212.26it/s]
3876it [02:29, 1130.47it/s]
4001it [02:30, 1066.83it/s]
4001it [02:30, 26.65it/s]  
