
0it [00:00, ?it/s]
1it [02:58, 178.37s/it]
123it [02:58,  1.02s/it]
246it [02:58,  2.39it/s]
369it [02:58,  4.38it/s]
493it [02:58,  7.25it/s]
612it [02:58, 11.16it/s]
736it [02:58, 16.93it/s]
855it [02:59, 24.73it/s]
979it [02:59, 36.18it/s]
1097it [02:59, 51.27it/s]
1220it [02:59, 73.17it/s]
1336it [02:59, 100.79it/s]
1456it [02:59, 139.76it/s]
1570it [02:59, 186.25it/s]
1693it [02:59, 252.92it/s]
1806it [02:59, 319.92it/s]
1928it [03:00, 414.04it/s]
2039it [03:00, 491.18it/s]
2163it [03:00, 605.65it/s]
2274it [03:00, 663.45it/s]
2397it [03:00, 774.14it/s]
2507it [03:00, 795.91it/s]
2631it [03:00, 896.29it/s]
2751it [03:00, 884.85it/s]
2874it [03:00, 967.41it/s]
2997it [03:01, 1034.16it/s]
3110it [03:01, 963.95it/s] 
3233it [03:01, 1032.62it/s]
3343it [03:01, 953.40it/s] 
3463it [03:01, 1016.79it/s]
3570it [03:01, 931.83it/s] 
3694it [03:01, 1010.94it/s]
3800it [03:01, 920.32it/s] 
3923it [03:02, 998.84it/s]
4001it [03:02, 21.96it/s] 
