
0it [00:00, ?it/s]
1it [02:38, 158.30s/it]
143it [02:38,  1.29it/s]
285it [02:38,  3.11it/s]
409it [02:38,  5.38it/s]
528it [02:38,  8.47it/s]
646it [02:38, 12.82it/s]
761it [02:38, 18.81it/s]
877it [02:39, 27.35it/s]
994it [02:39, 39.43it/s]
1108it [02:39, 55.68it/s]
1231it [02:39, 80.06it/s]
1349it [02:39, 111.73it/s]
1493it [02:39, 164.23it/s]
1617it [02:39, 220.89it/s]
1751it [02:39, 296.80it/s]
1894it [02:39, 399.28it/s]
2021it [02:40, 479.12it/s]
2140it [02:40, 575.69it/s]
2257it [02:40, 635.92it/s]
2374it [02:40, 731.64it/s]
2492it [02:40, 822.33it/s]
2605it [02:40, 824.51it/s]
2720it [02:40, 898.91it/s]
2827it [02:40, 864.33it/s]
2944it [02:40, 939.03it/s]
3049it [02:41, 888.96it/s]
3177it [02:41, 987.84it/s]
3283it [02:41, 968.18it/s]
3421it [02:41, 1077.08it/s]
3534it [02:41, 998.89it/s] 
3663it [02:41, 1074.25it/s]
3775it [02:41, 969.25it/s] 
3905it [02:41, 1053.65it/s]
4001it [02:42, 24.70it/s]  
