
0it [00:00, ?it/s]
1it [03:04, 184.86s/it]
138it [03:04,  1.06it/s]
275it [03:05,  2.57it/s]
409it [03:05,  4.67it/s]
541it [03:05,  7.62it/s]
680it [03:05, 12.03it/s]
813it [03:05, 17.99it/s]
948it [03:05, 26.56it/s]
1078it [03:05, 38.13it/s]
1206it [03:05, 54.06it/s]
1333it [03:05, 75.66it/s]
1475it [03:06, 109.23it/s]
1602it [03:06, 148.48it/s]
1738it [03:06, 204.99it/s]
1864it [03:06, 268.32it/s]
1990it [03:06, 348.75it/s]
2113it [03:06, 434.14it/s]
2251it [03:06, 536.39it/s]
2394it [03:06, 669.94it/s]
2518it [03:06, 742.57it/s]
2656it [03:07, 866.93it/s]
2780it [03:07, 892.89it/s]
2914it [03:07, 993.90it/s]
3035it [03:07, 964.03it/s]
3176it [03:07, 1071.88it/s]
3297it [03:07, 1033.45it/s]
3443it [03:07, 1141.85it/s]
3566it [03:07, 1086.56it/s]
3720it [03:07, 1205.16it/s]
3847it [03:08, 1132.54it/s]
4000it [03:08, 1237.56it/s]
4001it [03:08, 21.26it/s]  
