
0it [00:00, ?it/s]
1it [03:13, 193.08s/it]
115it [03:13,  1.18s/it]
230it [03:13,  2.06it/s]
344it [03:13,  3.77it/s]
455it [03:13,  6.15it/s]
565it [03:13,  9.48it/s]
680it [03:13, 14.44it/s]
790it [03:13, 21.12it/s]
903it [03:13, 30.80it/s]
1012it [03:14, 43.77it/s]
1128it [03:14, 63.03it/s]
1247it [03:14, 90.13it/s]
1358it [03:14, 123.36it/s]
1472it [03:14, 169.18it/s]
1581it [03:14, 222.16it/s]
1694it [03:14, 293.47it/s]
1800it [03:14, 363.30it/s]
1914it [03:14, 459.00it/s]
2019it [03:15, 528.79it/s]
2134it [03:15, 635.13it/s]
2249it [03:15, 735.21it/s]
2356it [03:15, 756.50it/s]
2471it [03:15, 844.57it/s]
2575it [03:15, 827.76it/s]
2689it [03:15, 902.54it/s]
2791it [03:15, 861.11it/s]
2905it [03:15, 931.99it/s]
3006it [03:16, 872.57it/s]
3119it [03:16, 938.83it/s]
3234it [03:16, 994.93it/s]
3338it [03:16, 904.20it/s]
3453it [03:16, 966.71it/s]
3554it [03:16, 876.56it/s]
3672it [03:16, 954.08it/s]
3772it [03:16, 856.94it/s]
3886it [03:16, 928.52it/s]
4001it [03:17, 842.94it/s]
4001it [03:17, 20.30it/s] 
