
0it [00:00, ?it/s]
1it [03:18, 198.43s/it]
116it [03:18,  1.20s/it]
233it [03:18,  2.03it/s]
349it [03:18,  3.73it/s]
464it [03:18,  6.12it/s]
578it [03:18,  9.49it/s]
704it [03:19, 14.78it/s]
821it [03:19, 21.71it/s]
949it [03:19, 32.40it/s]
1068it [03:19, 46.26it/s]
1200it [03:19, 67.71it/s]
1321it [03:19, 94.34it/s]
1454it [03:19, 134.36it/s]
1577it [03:19, 181.63it/s]
1712it [03:19, 250.56it/s]
1835it [03:19, 321.65it/s]
1966it [03:20, 418.81it/s]
2087it [03:20, 503.15it/s]
2221it [03:20, 625.38it/s]
2342it [03:20, 698.15it/s]
2478it [03:20, 824.59it/s]
2599it [03:20, 863.26it/s]
2734it [03:20, 971.94it/s]
2854it [03:20, 962.15it/s]
2986it [03:20, 1048.22it/s]
3104it [03:21, 993.71it/s] 
3236it [03:21, 1074.92it/s]
3352it [03:21, 1010.19it/s]
3482it [03:21, 1083.71it/s]
3596it [03:21, 1005.78it/s]
3729it [03:21, 1088.04it/s]
3843it [03:21, 981.49it/s] 
3967it [03:21, 1047.72it/s]
4001it [03:22, 19.80it/s]  
