
0it [00:00, ?it/s]
1it [03:14, 194.18s/it]
122it [03:14,  1.12s/it]
243it [03:14,  2.16it/s]
361it [03:14,  3.92it/s]
477it [03:14,  6.39it/s]
590it [03:14,  9.80it/s]
706it [03:14, 14.77it/s]
818it [03:14, 21.53it/s]
933it [03:15, 31.32it/s]
1044it [03:15, 44.46it/s]
1157it [03:15, 63.09it/s]
1266it [03:15, 87.35it/s]
1382it [03:15, 122.67it/s]
1497it [03:15, 168.82it/s]
1607it [03:15, 222.09it/s]
1720it [03:15, 293.18it/s]
1827it [03:15, 363.37it/s]
1942it [03:16, 459.96it/s]
2047it [03:16, 529.61it/s]
2162it [03:16, 635.41it/s]
2266it [03:16, 679.52it/s]
2380it [03:16, 776.15it/s]
2496it [03:16, 863.50it/s]
2603it [03:16, 847.88it/s]
2721it [03:16, 928.88it/s]
2826it [03:16, 881.16it/s]
2942it [03:17, 950.12it/s]
3044it [03:17, 883.26it/s]
3158it [03:17, 949.10it/s]
3258it [03:17, 866.79it/s]
3372it [03:17, 936.90it/s]
3486it [03:17, 990.64it/s]
3589it [03:17, 877.12it/s]
3705it [03:17, 948.79it/s]
3805it [03:17, 851.26it/s]
3918it [03:18, 921.68it/s]
4001it [03:18, 20.18it/s] 
