
0it [00:00, ?it/s]
1it [03:14, 194.52s/it]
116it [03:14,  1.18s/it]
232it [03:14,  2.06it/s]
347it [03:14,  3.78it/s]
458it [03:14,  6.13it/s]
569it [03:15,  9.48it/s]
684it [03:15, 14.39it/s]
792it [03:15, 20.90it/s]
908it [03:15, 30.77it/s]
1017it [03:15, 43.66it/s]
1130it [03:15, 62.27it/s]
1245it [03:15, 88.26it/s]
1355it [03:15, 120.96it/s]
1470it [03:15, 167.02it/s]
1578it [03:16, 219.35it/s]
1691it [03:16, 290.44it/s]
1797it [03:16, 360.03it/s]
1911it [03:16, 455.77it/s]
2015it [03:16, 524.55it/s]
2131it [03:16, 633.06it/s]
2247it [03:16, 736.44it/s]
2355it [03:16, 764.48it/s]
2471it [03:16, 853.33it/s]
2576it [03:17, 838.27it/s]
2691it [03:17, 914.33it/s]
2794it [03:17, 863.67it/s]
2909it [03:17, 935.20it/s]
3010it [03:17, 865.67it/s]
3124it [03:17, 934.16it/s]
3238it [03:17, 988.04it/s]
3342it [03:17, 886.47it/s]
3457it [03:17, 953.88it/s]
3557it [03:18, 863.07it/s]
3672it [03:18, 936.03it/s]
3770it [03:18, 844.58it/s]
3886it [03:18, 924.01it/s]
4001it [03:18, 851.25it/s]
4001it [03:18, 20.15it/s] 
