
0it [00:00, ?it/s]
1it [03:01, 181.01s/it]
141it [03:01,  1.11it/s]
281it [03:01,  2.68it/s]
411it [03:01,  4.77it/s]
540it [03:01,  7.70it/s]
675it [03:01, 12.08it/s]
806it [03:01, 18.08it/s]
941it [03:01, 26.83it/s]
1072it [03:01, 38.71it/s]
1206it [03:01, 55.74it/s]
1334it [03:02, 78.05it/s]
1473it [03:02, 111.50it/s]
1602it [03:02, 152.04it/s]
1743it [03:02, 211.83it/s]
1872it [03:02, 277.26it/s]
1996it [03:02, 356.46it/s]
2119it [03:02, 436.45it/s]
2251it [03:02, 532.16it/s]
2387it [03:02, 655.94it/s]
2507it [03:03, 727.35it/s]
2645it [03:03, 854.49it/s]
2766it [03:03, 884.16it/s]
2906it [03:03, 1000.45it/s]
3028it [03:03, 985.25it/s] 
3157it [03:03, 1059.37it/s]
3275it [03:03, 1003.89it/s]
3415it [03:03, 1104.00it/s]
3534it [03:03, 1033.63it/s]
3676it [03:04, 1131.95it/s]
3795it [03:04, 1051.95it/s]
3935it [03:04, 1142.68it/s]
4001it [03:04, 21.69it/s]  
