
0it [00:00, ?it/s]
1it [03:02, 182.01s/it]
135it [03:02,  1.06it/s]
269it [03:02,  2.55it/s]
397it [03:02,  4.59it/s]
522it [03:02,  7.43it/s]
654it [03:02, 11.68it/s]
780it [03:02, 17.41it/s]
903it [03:02, 25.33it/s]
1023it [03:02, 36.17it/s]
1153it [03:02, 52.63it/s]
1275it [03:03, 73.82it/s]
1408it [03:03, 105.70it/s]
1531it [03:03, 144.36it/s]
1663it [03:03, 200.02it/s]
1786it [03:03, 262.34it/s]
1907it [03:03, 340.09it/s]
2025it [03:03, 418.04it/s]
2161it [03:03, 538.04it/s]
2280it [03:03, 617.14it/s]
2415it [03:04, 745.49it/s]
2534it [03:04, 799.26it/s]
2668it [03:04, 915.14it/s]
2787it [03:04, 920.06it/s]
2923it [03:04, 1023.92it/s]
3042it [03:04, 978.21it/s] 
3173it [03:04, 1061.11it/s]
3289it [03:04, 1017.69it/s]
3425it [03:04, 1105.88it/s]
3542it [03:05, 1021.40it/s]
3663it [03:05, 1070.40it/s]
3775it [03:05, 968.38it/s] 
3915it [03:05, 1077.81it/s]
4001it [03:05, 21.56it/s]  
