
0it [00:00, ?it/s]
1it [03:08, 188.19s/it]
113it [03:08,  1.17s/it]
226it [03:08,  2.08it/s]
338it [03:08,  3.80it/s]
447it [03:08,  6.19it/s]
555it [03:08,  9.56it/s]
667it [03:08, 14.50it/s]
775it [03:08, 21.23it/s]
887it [03:09, 31.06it/s]
1000it [03:09, 44.93it/s]
1109it [03:09, 63.27it/s]
1220it [03:09, 89.03it/s]
1327it [03:09, 121.65it/s]
1440it [03:09, 168.01it/s]
1545it [03:09, 220.04it/s]
1657it [03:09, 292.07it/s]
1761it [03:09, 361.55it/s]
1873it [03:09, 456.80it/s]
1984it [03:10, 555.55it/s]
2089it [03:10, 500.87it/s]
2200it [03:10, 601.17it/s]
2293it [03:10, 641.80it/s]
2406it [03:10, 743.51it/s]
2502it [03:10, 751.89it/s]
2615it [03:10, 841.12it/s]
2726it [03:10, 908.78it/s]
2828it [03:11, 864.05it/s]
2940it [03:11, 930.04it/s]
3040it [03:11, 867.48it/s]
3152it [03:11, 932.70it/s]
3251it [03:11, 862.68it/s]
3364it [03:11, 931.64it/s]
3476it [03:11, 980.48it/s]
3578it [03:11, 882.07it/s]
3691it [03:12, 945.53it/s]
3790it [03:12, 853.53it/s]
3901it [03:12, 919.13it/s]
4001it [03:12, 830.85it/s]
4001it [03:12, 20.79it/s] 
