
0it [00:00, ?it/s]
1it [03:17, 197.94s/it]
111it [03:18,  1.25s/it]
223it [03:18,  1.95it/s]
334it [03:18,  3.58it/s]
443it [03:18,  5.85it/s]
551it [03:18,  9.05it/s]
666it [03:18, 13.89it/s]
775it [03:18, 20.35it/s]
895it [03:18, 30.40it/s]
1006it [03:18, 43.31it/s]
1127it [03:18, 62.98it/s]
1251it [03:19, 90.24it/s]
1371it [03:19, 126.14it/s]
1501it [03:19, 176.27it/s]
1633it [03:19, 243.53it/s]
1751it [03:19, 311.82it/s]
1883it [03:19, 411.09it/s]
2001it [03:19, 494.12it/s]
2132it [03:19, 613.86it/s]
2251it [03:19, 686.15it/s]
2379it [03:20, 799.23it/s]
2501it [03:20, 834.89it/s]
2633it [03:20, 942.34it/s]
2751it [03:20, 933.06it/s]
2885it [03:20, 1030.73it/s]
3001it [03:20, 991.79it/s] 
3133it [03:20, 1075.19it/s]
3251it [03:20, 1009.98it/s]
3380it [03:21, 1080.34it/s]
3501it [03:21, 996.65it/s] 
3632it [03:21, 1075.90it/s]
3751it [03:21, 990.33it/s] 
3880it [03:21, 1066.67it/s]
4001it [03:21, 979.22it/s] 
4001it [03:21, 19.84it/s] 
