
0it [00:00, ?it/s]
1it [03:03, 183.34s/it]
134it [03:03,  1.04it/s]
267it [03:03,  2.52it/s]
395it [03:03,  4.54it/s]
519it [03:03,  7.33it/s]
652it [03:03, 11.58it/s]
777it [03:03, 17.24it/s]
912it [03:04, 25.88it/s]
1038it [03:04, 37.18it/s]
1171it [03:04, 53.90it/s]
1297it [03:04, 75.61it/s]
1431it [03:04, 107.47it/s]
1557it [03:04, 146.55it/s]
1683it [03:04, 198.86it/s]
1805it [03:04, 261.05it/s]
1937it [03:04, 347.67it/s]
2059it [03:05, 431.67it/s]
2193it [03:05, 547.98it/s]
2315it [03:05, 631.07it/s]
2451it [03:05, 759.47it/s]
2573it [03:05, 808.38it/s]
2707it [03:05, 921.98it/s]
2827it [03:05, 926.31it/s]
2950it [03:05, 997.14it/s]
3066it [03:05, 959.99it/s]
3207it [03:06, 1072.07it/s]
3324it [03:06, 1013.68it/s]
3461it [03:06, 1104.46it/s]
3578it [03:06, 1024.33it/s]
3717it [03:06, 1118.81it/s]
3835it [03:06, 1043.86it/s]
3977it [03:06, 1141.90it/s]
4001it [03:06, 21.42it/s]  
