
0it [00:00, ?it/s]
1it [02:58, 178.90s/it]
125it [02:58,  1.01s/it]
251it [02:59,  2.43it/s]
378it [02:59,  4.49it/s]
503it [02:59,  7.37it/s]
626it [02:59, 11.39it/s]
751it [02:59, 17.19it/s]
879it [02:59, 25.57it/s]
1001it [02:59, 36.74it/s]
1123it [02:59, 52.39it/s]
1247it [02:59, 74.41it/s]
1366it [03:00, 102.86it/s]
1489it [03:00, 142.79it/s]
1607it [03:00, 191.13it/s]
1741it [03:00, 264.47it/s]
1860it [03:00, 334.13it/s]
1984it [03:00, 428.61it/s]
2099it [03:00, 512.28it/s]
2231it [03:00, 636.04it/s]
2348it [03:00, 705.49it/s]
2487it [03:01, 840.97it/s]
2606it [03:01, 872.93it/s]
2739it [03:01, 977.52it/s]
2858it [03:01, 970.15it/s]
2991it [03:01, 1060.07it/s]
3109it [03:01, 1024.09it/s]
3244it [03:01, 1107.62it/s]
3362it [03:01, 1031.87it/s]
3496it [03:01, 1111.70it/s]
3613it [03:02, 1034.89it/s]
3751it [03:02, 993.59it/s] 
3888it [03:02, 1087.30it/s]
4001it [03:02, 21.93it/s]  
