
0it [00:00, ?it/s]
1it [03:02, 182.16s/it]
139it [03:02,  1.09it/s]
277it [03:02,  2.63it/s]
410it [03:02,  4.75it/s]
543it [03:02,  7.76it/s]
671it [03:02, 11.87it/s]
798it [03:02, 17.65it/s]
936it [03:02, 26.55it/s]
1065it [03:02, 38.18it/s]
1201it [03:03, 55.38it/s]
1330it [03:03, 77.74it/s]
1469it [03:03, 111.01it/s]
1598it [03:03, 151.42it/s]
1737it [03:03, 209.99it/s]
1865it [03:03, 273.39it/s]
1994it [03:03, 356.42it/s]
2117it [03:03, 439.56it/s]
2251it [03:03, 535.93it/s]
2390it [03:04, 663.92it/s]
2512it [03:04, 733.35it/s]
2653it [03:04, 864.31it/s]
2776it [03:04, 892.66it/s]
2916it [03:04, 1006.98it/s]
3039it [03:04, 974.92it/s] 
3181it [03:04, 1082.45it/s]
3303it [03:04, 1038.76it/s]
3446it [03:05, 1137.48it/s]
3568it [03:05, 1060.04it/s]
3691it [03:05, 1103.73it/s]
3807it [03:05, 1011.53it/s]
3943it [03:05, 1100.62it/s]
4001it [03:05, 21.56it/s]  
