
0it [00:00, ?it/s]
1it [03:11, 191.54s/it]
117it [03:11,  1.15s/it]
234it [03:11,  2.11it/s]
350it [03:11,  3.87it/s]
463it [03:11,  6.30it/s]
575it [03:12,  9.73it/s]
691it [03:12, 14.77it/s]
803it [03:12, 21.63it/s]
920it [03:12, 31.73it/s]
1031it [03:12, 45.04it/s]
1145it [03:12, 64.08it/s]
1255it [03:12, 88.86it/s]
1371it [03:12, 124.59it/s]
1487it [03:12, 171.68it/s]
1598it [03:13, 226.17it/s]
1713it [03:13, 299.28it/s]
1821it [03:13, 370.67it/s]
1936it [03:13, 467.52it/s]
2042it [03:13, 538.51it/s]
2158it [03:13, 645.47it/s]
2263it [03:13, 689.58it/s]
2379it [03:13, 788.17it/s]
2495it [03:13, 874.14it/s]
2603it [03:14, 855.64it/s]
2721it [03:14, 934.24it/s]
2826it [03:14, 895.04it/s]
2944it [03:14, 967.52it/s]
3048it [03:14, 898.01it/s]
3165it [03:14, 967.11it/s]
3267it [03:14, 892.01it/s]
3384it [03:14, 963.51it/s]
3500it [03:14, 1015.14it/s]
3605it [03:15, 908.84it/s] 
3721it [03:15, 974.19it/s]
3823it [03:15, 871.87it/s]
3940it [03:15, 946.79it/s]
4001it [03:15, 20.46it/s] 
