
0it [00:00, ?it/s]
1it [03:13, 193.22s/it]
115it [03:13,  1.18s/it]
229it [03:13,  2.05it/s]
343it [03:13,  3.76it/s]
454it [03:13,  6.13it/s]
564it [03:13,  9.47it/s]
679it [03:13, 14.42it/s]
789it [03:13, 21.10it/s]
904it [03:14, 30.94it/s]
1013it [03:14, 43.92it/s]
1131it [03:14, 63.52it/s]
1246it [03:14, 89.65it/s]
1357it [03:14, 122.83it/s]
1472it [03:14, 169.08it/s]
1581it [03:14, 221.96it/s]
1694it [03:14, 293.19it/s]
1800it [03:14, 362.66it/s]
1914it [03:15, 458.57it/s]
2019it [03:15, 526.68it/s]
2134it [03:15, 632.57it/s]
2250it [03:15, 734.79it/s]
2357it [03:15, 757.12it/s]
2471it [03:15, 842.69it/s]
2575it [03:15, 823.52it/s]
2688it [03:15, 897.74it/s]
2789it [03:15, 852.62it/s]
2904it [03:16, 926.19it/s]
3004it [03:16, 861.49it/s]
3118it [03:16, 931.59it/s]
3232it [03:16, 987.06it/s]
3335it [03:16, 892.31it/s]
3449it [03:16, 956.22it/s]
3549it [03:16, 867.83it/s]
3664it [03:16, 938.83it/s]
3762it [03:17, 844.43it/s]
3876it [03:17, 918.55it/s]
3990it [03:17, 977.36it/s]
4001it [03:17, 20.28it/s] 
