
0it [00:00, ?it/s]
1it [02:33, 153.33s/it]
124it [02:33,  1.15it/s]
247it [02:33,  2.78it/s]
369it [02:33,  5.09it/s]
492it [02:33,  8.39it/s]
610it [02:33, 12.88it/s]
729it [02:33, 19.30it/s]
845it [02:34, 28.08it/s]
968it [02:34, 41.19it/s]
1084it [02:34, 58.27it/s]
1221it [02:34, 86.36it/s]
1341it [02:34, 119.07it/s]
1493it [02:34, 175.88it/s]
1621it [02:34, 235.49it/s]
1751it [02:34, 310.57it/s]
1899it [02:34, 419.25it/s]
2030it [02:35, 517.08it/s]
2180it [02:35, 656.49it/s]
2314it [02:35, 750.28it/s]
2467it [02:35, 898.03it/s]
2603it [02:35, 955.53it/s]
2751it [02:35, 1000.63it/s]
2903it [02:35, 1119.16it/s]
3035it [02:35, 1101.65it/s]
3184it [02:35, 1198.80it/s]
3316it [02:36, 1148.96it/s]
3464it [02:36, 1234.12it/s]
3595it [02:36, 1152.51it/s]
3735it [02:36, 1216.10it/s]
3862it [02:36, 1041.63it/s]
3980it [02:36, 1074.08it/s]
4001it [02:36, 25.53it/s]  
