
0it [00:00, ?it/s]
1it [02:29, 149.47s/it]
149it [02:29,  1.42it/s]
297it [02:29,  3.43it/s]
440it [02:29,  6.20it/s]
582it [02:29, 10.11it/s]
730it [02:29, 15.90it/s]
873it [02:30, 23.79it/s]
1011it [02:30, 34.50it/s]
1145it [02:30, 49.08it/s]
1278it [02:30, 68.93it/s]
1405it [02:30, 95.19it/s]
1530it [02:30, 129.27it/s]
1658it [02:30, 176.65it/s]
1779it [02:30, 232.22it/s]
1923it [02:30, 320.33it/s]
2048it [02:31, 403.59it/s]
2197it [02:31, 531.18it/s]
2326it [02:31, 626.41it/s]
2476it [02:31, 772.15it/s]
2608it [02:31, 846.33it/s]
2751it [02:31, 909.35it/s]
2902it [02:31, 1040.82it/s]
3032it [02:31, 1043.41it/s]
3182it [02:31, 1153.98it/s]
3313it [02:32, 1114.84it/s]
3461it [02:32, 1207.47it/s]
3591it [02:32, 1138.91it/s]
3741it [02:32, 1232.56it/s]
3871it [02:32, 1143.20it/s]
4001it [02:32, 1077.15it/s]
4001it [02:34, 25.93it/s]  
