
0it [00:00, ?it/s]
1it [03:03, 183.67s/it]
138it [03:03,  1.07it/s]
275it [03:03,  2.59it/s]
410it [03:03,  4.72it/s]
544it [03:04,  7.73it/s]
686it [03:04, 12.26it/s]
821it [03:04, 18.36it/s]
963it [03:04, 27.44it/s]
1098it [03:04, 39.51it/s]
1236it [03:04, 56.81it/s]
1368it [03:04, 79.43it/s]
1501it [03:04, 110.49it/s]
1643it [03:04, 155.70it/s]
1772it [03:05, 207.68it/s]
1913it [03:05, 282.90it/s]
2043it [03:05, 359.53it/s]
2188it [03:05, 471.86it/s]
2317it [03:05, 559.00it/s]
2461it [03:05, 691.43it/s]
2589it [03:05, 760.95it/s]
2717it [03:05, 861.75it/s]
2840it [03:05, 886.58it/s]
2989it [03:06, 1022.02it/s]
3114it [03:06, 1002.81it/s]
3251it [03:06, 1000.31it/s]
3388it [03:06, 1089.68it/s]
3507it [03:06, 1039.98it/s]
3657it [03:06, 1156.29it/s]
3780it [03:06, 1088.37it/s]
3928it [03:06, 1188.84it/s]
4001it [03:06, 21.40it/s]  
