
0it [00:00, ?it/s]
1it [02:55, 175.30s/it]
124it [02:55,  1.01it/s]
248it [02:55,  2.45it/s]
371it [02:55,  4.48it/s]
495it [02:55,  7.40it/s]
615it [02:55, 11.40it/s]
738it [02:55, 17.23it/s]
857it [02:56, 25.16it/s]
980it [02:56, 36.71it/s]
1098it [02:56, 52.07it/s]
1220it [02:56, 74.14it/s]
1337it [02:56, 102.56it/s]
1460it [02:56, 143.19it/s]
1575it [02:56, 190.95it/s]
1698it [02:56, 258.35it/s]
1812it [02:56, 327.14it/s]
1934it [02:57, 421.98it/s]
2046it [02:57, 500.20it/s]
2165it [02:57, 606.79it/s]
2275it [02:57, 667.86it/s]
2397it [02:57, 777.22it/s]
2507it [02:57, 801.85it/s]
2629it [02:57, 897.53it/s]
2751it [02:57, 887.03it/s]
2873it [02:57, 966.27it/s]
2995it [02:58, 1029.62it/s]
3107it [02:58, 960.80it/s] 
3229it [02:58, 1027.69it/s]
3338it [02:58, 951.45it/s] 
3460it [02:58, 1020.32it/s]
3567it [02:58, 935.48it/s] 
3690it [02:58, 1009.97it/s]
3795it [02:58, 918.82it/s] 
3917it [02:58, 995.74it/s]
4001it [02:59, 22.34it/s] 
