
0it [00:00, ?it/s]
1it [02:55, 175.93s/it]
121it [02:56,  1.02s/it]
241it [02:56,  2.37it/s]
360it [02:56,  4.33it/s]
481it [02:56,  7.16it/s]
598it [02:56, 11.06it/s]
719it [02:56, 16.77it/s]
835it [02:56, 24.47it/s]
956it [02:56, 35.80it/s]
1072it [02:56, 50.85it/s]
1192it [02:56, 72.49it/s]
1306it [02:57, 100.08it/s]
1423it [02:57, 138.51it/s]
1535it [02:57, 184.69it/s]
1656it [02:57, 250.95it/s]
1767it [02:57, 317.97it/s]
1887it [02:57, 411.34it/s]
2001it [02:57, 490.27it/s]
2116it [02:57, 591.58it/s]
2235it [02:57, 699.23it/s]
2346it [02:58, 741.08it/s]
2467it [02:58, 842.09it/s]
2576it [02:58, 844.16it/s]
2681it [02:58, 891.63it/s]
2784it [02:58, 868.87it/s]
2905it [02:58, 954.46it/s]
3009it [02:58, 902.69it/s]
3128it [02:58, 977.03it/s]
3247it [02:58, 1033.15it/s]
3355it [02:59, 619.25it/s] 
3475it [02:59, 729.99it/s]
3571it [02:59, 731.24it/s]
3694it [02:59, 841.32it/s]
3793it [02:59, 804.42it/s]
3911it [02:59, 894.57it/s]
4001it [03:00, 22.23it/s] 
