
0it [00:00, ?it/s]
1it [02:58, 178.70s/it]
123it [02:58,  1.02s/it]
245it [02:58,  2.37it/s]
367it [02:59,  4.35it/s]
498it [02:59,  7.37it/s]
619it [02:59, 11.34it/s]
739it [02:59, 16.91it/s]
858it [02:59, 24.69it/s]
981it [02:59, 36.03it/s]
1099it [02:59, 51.11it/s]
1219it [02:59, 72.42it/s]
1334it [02:59, 99.79it/s]
1458it [02:59, 140.14it/s]
1572it [03:00, 186.77it/s]
1692it [03:00, 251.44it/s]
1805it [03:00, 319.47it/s]
1935it [03:00, 422.44it/s]
2049it [03:00, 497.05it/s]
2173it [03:00, 610.02it/s]
2285it [03:00, 679.82it/s]
2414it [03:00, 799.82it/s]
2528it [03:00, 832.21it/s]
2664it [03:01, 952.64it/s]
2780it [03:01, 936.35it/s]
2913it [03:01, 1033.56it/s]
3029it [03:01, 998.34it/s] 
3159it [03:01, 1075.54it/s]
3274it [03:01, 1016.22it/s]
3402it [03:01, 1084.56it/s]
3516it [03:01, 1002.83it/s]
3649it [03:01, 1088.47it/s]
3762it [03:02, 1005.95it/s]
3896it [03:02, 1093.38it/s]
4001it [03:02, 21.94it/s]  
